Extract Name	Protocol REF	Protocol REF	Assay Name	Protocol REF	Data Transformation Name
Extract HB3	labeling	nucleic acid hybridization	HB3 (SNP microarray)	sequence analysis data transformation	HB3 (Sequence Variations)
Extract HB3_repeat	labeling	nucleic acid hybridization	HB3_repeat (SNP microarray)	sequence analysis data transformation	HB3_repeat (Sequence Variations)
Extract 3D7_1	labeling	nucleic acid hybridization	3D7_1 (SNP microarray)	sequence analysis data transformation	3D7_1 (Sequence Variations)
Extract Dd2	labeling	nucleic acid hybridization	Dd2 (SNP microarray)	sequence analysis data transformation	Dd2 (Sequence Variations)
Extract K1	labeling	nucleic acid hybridization	K1 (SNP microarray)	sequence analysis data transformation	K1 (Sequence Variations)
Extract 7G8	labeling	nucleic acid hybridization	7G8 (SNP microarray)	sequence analysis data transformation	7G8 (Sequence Variations)
Extract V1_S	labeling	nucleic acid hybridization	V1_S (SNP microarray)	sequence analysis data transformation	V1_S (Sequence Variations)
Extract D10	labeling	nucleic acid hybridization	D10 (SNP microarray)	sequence analysis data transformation	D10 (Sequence Variations)
Extract Malayan	labeling	nucleic acid hybridization	Malayan (SNP microarray)	sequence analysis data transformation	Malayan (Sequence Variations)
Extract SantaLucia	labeling	nucleic acid hybridization	SantaLucia (SNP microarray)	sequence analysis data transformation	SantaLucia (Sequence Variations)
Extract SenP31.01	labeling	nucleic acid hybridization	SenP31.01 (SNP microarray)	sequence analysis data transformation	SenP31.01 (Sequence Variations)
Extract SenV34.04	labeling	nucleic acid hybridization	SenV34.04 (SNP microarray)	sequence analysis data transformation	SenV34.04 (Sequence Variations)
Extract SenV35.04	labeling	nucleic acid hybridization	SenV35.04 (SNP microarray)	sequence analysis data transformation	SenV35.04 (Sequence Variations)
Extract SenP51.02	labeling	nucleic acid hybridization	SenP51.02 (SNP microarray)	sequence analysis data transformation	SenP51.02 (Sequence Variations)
Extract SenV56.04	labeling	nucleic acid hybridization	SenV56.04 (SNP microarray)	sequence analysis data transformation	SenV56.04 (Sequence Variations)
Extract P_reichenowi	labeling	nucleic acid hybridization	P_reichenowi (SNP microarray)	sequence analysis data transformation	P_reichenowi (Sequence Variations)
Extract SenThi10.04	labeling	nucleic acid hybridization	SenThi10.04 (SNP microarray)	sequence analysis data transformation	SenThi10.04 (Sequence Variations)
Extract CF08.008	labeling	nucleic acid hybridization	CF08.008 (SNP microarray)	sequence analysis data transformation	CF08.008 (Sequence Variations)
Extract D6	labeling	nucleic acid hybridization	D6 (SNP microarray)	sequence analysis data transformation	D6 (Sequence Variations)
Extract SenP05.02	labeling	nucleic acid hybridization	SenP05.02 (SNP microarray)	sequence analysis data transformation	SenP05.02 (Sequence Variations)
Extract SenP06.02	labeling	nucleic acid hybridization	SenP06.02 (SNP microarray)	sequence analysis data transformation	SenP06.02 (Sequence Variations)
Extract SenP08.04	labeling	nucleic acid hybridization	SenP08.04 (SNP microarray)	sequence analysis data transformation	SenP08.04 (Sequence Variations)
Extract SenP09.04	labeling	nucleic acid hybridization	SenP09.04 (SNP microarray)	sequence analysis data transformation	SenP09.04 (Sequence Variations)
Extract SenP11.02	labeling	nucleic acid hybridization	SenP11.02 (SNP microarray)	sequence analysis data transformation	SenP11.02 (Sequence Variations)
Extract SenP18.02	labeling	nucleic acid hybridization	SenP18.02 (SNP microarray)	sequence analysis data transformation	SenP18.02 (Sequence Variations)
Extract SenP19.04	labeling	nucleic acid hybridization	SenP19.04 (SNP microarray)	sequence analysis data transformation	SenP19.04 (Sequence Variations)
Extract SenP26.04	labeling	nucleic acid hybridization	SenP26.04 (SNP microarray)	sequence analysis data transformation	SenP26.04 (Sequence Variations)
Extract SenP27.02	labeling	nucleic acid hybridization	SenP27.02 (SNP microarray)	sequence analysis data transformation	SenP27.02 (Sequence Variations)
